t	x	y	theta	v	omega	v	omega
1.591	0.632832	-0.00345875	0.00483938	0.500023	0.0575128	0.5	0.0982947
1.613	0.643331	-0.00340186	0.00609205	0.499983	0.0687383	0.5	0.127376
1.63	0.653331	-0.00333434	0.00755567	0.500099	0.0909517	0.5	0.127376
1.648	0.663831	-0.00324546	0.00946565	0.499962	0.0909517	0.5	0.127376
1.676	0.67433	-0.00313704	0.0112687	0.49996	0.0860377	0.5	0.127376
1.696	0.68433	-0.00301618	0.0129896	0.500145	0.086185	0.5	0.127376
1.716	0.694329	-0.00287809	0.0147127	0.499982	0.0856577	0.5	0.127376
1.737	0.704827	-0.00271463	0.016512	0.499929	0.0861384	0.5	0.127376
1.757	0.714826	-0.00254133	0.0182347	0.500139	0.0860899	0.5	0.127376
1.777	0.724824	-0.00235081	0.0199549	0.499986	0.0853015	0.5	0.127376
1.797	0.735321	-0.00213236	0.0217486	0.499938	0.0860875	0.5	0.155603
1.818	0.745319	-0.00190667	0.0235416	0.500117	0.109847	0.5	0.155603
1.837	0.755317	-0.00166082	0.0257637	0.49997	0.118229	0.5	0.155603
1.857	0.765812	-0.00137794	0.0282316	0.499922	0.1145	0.5	0.155603
1.878	0.775808	-0.00108479	0.0305239	0.50007	0.115077	0.5	0.155603
1.899	0.785804	-0.000768658	0.0328259	0.500002	0.115186	0.5	0.155603
1.92	0.796297	-0.000411979	0.0352438	0.499925	0.114992	0.5	0.155603
1.939	0.806291	-4.86865e-05	0.0375444	0.500044	0.115139	0.5	0.155603
1.96	0.816283	0.000337607	0.0398471	0.500014	0.11513	0.5	0.155603
1.976	0.826275	0.000746901	0.0421479	0.499891	0.114766	0.5	0.155603
2.001	0.836765	0.00120134	0.0445601	0.500056	0.115182	0.5	0.184397
2.021	0.846755	0.0016579	0.046968	0.500068	0.132556	0.5	0.184397
2.042	0.857242	0.00216491	0.0498524	0.499877	0.146956	0.5	0.184397
2.062	0.867729	0.0027035	0.05291	0.500079	0.14339	0.5	0.184397
2.083	0.877714	0.00324598	0.0557748	0.500026	0.143016	0.5	0.184397
2.104	0.888197	0.00384628	0.0587818	0.49989	0.143424	0.5	0.184397
2.125	0.898678	0.00447817	0.0617921	0.500119	0.143266	0.5	0.184397
2.145	0.908658	0.00510932	0.0646585	0.499976	0.143371	0.5	0.184397
2.165	0.919135	0.00580272	0.0676681	0.499926	0.143265	0.5	0.184397
2.186	0.929111	0.00649248	0.0705313	0.500091	0.143068	0.5	0.184397
2.206	0.939086	0.0072108	0.0733957	0.499966	0.143349	0.5	0.213046
2.226	0.949556	0.0079964	0.0766436	0.49994	0.163147	0.5	0.213046
2.244	0.959525	0.00877799	0.0800634	0.500049	0.176215	0.5	0.213046
2.267	0.969492	0.00959432	0.0835332	0.499984	0.171676	0.5	0.213046
2.287	0.979954	0.0104883	0.0871407	0.499912	0.171853	0.5	0.213046
2.309	0.990412	0.0114201	0.0907465	0.500099	0.17163	0.5	0.213046
2.329	1.00037	0.0123426	0.0941854	0.499928	0.172079	0.5	0.213046
2.35	1.01082	0.0133481	0.0977987	0.499917	0.172057	0.5	0.213046
2.371	1.02127	0.0143913	0.101412	0.500211	0.172059	0.5	0.213046
2.391	1.03122	0.01542	0.104853	0.499944	0.172063	0.5	0.239847
2.412	1.04166	0.0165368	0.108467	0.499957	0.172084	0.5	0.239847
2.431	1.0516	0.0176363	0.112058	0.500161	0.18089	0.5	0.239847
2.452	1.06153	0.0187733	0.116097	0.499909	0.205672	0.5	0.239847
2.473	1.07196	0.0200106	0.120331	0.49996	0.200903	0.5	0.239847
2.493	1.08188	0.0212299	0.124338	0.500148	0.200338	0.5	0.239847
2.513	1.0918	0.0224891	0.128354	0.499914	0.200813	0.5	0.239847
2.533	1.10221	0.0238539	0.13257	0.499958	0.200743	0.5	0.239847
2.553	1.11213	0.0251947	0.136585	0.500148	0.200751	0.5	0.239847
2.574	1.12203	0.0265752	0.1406	0.499885	0.200756	0.5	0.239847
2.595	1.13242	0.0280674	0.144814	0.499955	0.200669	0.5	0.269075
2.614	1.14232	0.0295294	0.148829	0.500158	0.200771	0.5	0.269075
2.634	1.1522	0.0310333	0.153312	0.499882	0.22414	0.5	0.269075
2.656	1.16257	0.0326606	0.158146	0.499978	0.226857	0.5	0.269075
2.676	1.17245	0.0342569	0.162684	0.500237	0.227307	0.5	0.269075
2.695	1.18231	0.0358979	0.16723	0.49989	0.227499	0.5	0.269075
2.717	1.19266	0.037669	0.172008	0.499975	0.227485	0.5	0.269075
2.737	1.20251	0.039402	0.176557	0.500214	0.227254	0.5	0.269075
2.758	1.21284	0.0412697	0.18133	0.499869	0.227536	0.5	0.269075
2.779	1.22317	0.0431867	0.186107	0.50001	0.227293	0.5	0.269075
2.799	1.23299	0.0450584	0.190653	0.500211	0.227301	0.5	0.298586
2.819	1.2428	0.0469747	0.195308	0.499908	0.254582	0.5	0.298586
2.84	1.2531	0.0490385	0.20068	0.499994	0.2597	0.5	0.298586
2.86	1.26289	0.0510561	0.205855	0.500087	0.255764	0.5	0.298586
2.878	1.27268	0.053124	0.210978	0.499868	0.257332	0.5	0.298586
2.901	1.28294	0.0553491	0.216378	0.500008	0.256691	0.5	0.298586
2.921	1.2927	0.05752	0.22151	0.500086	0.256409	0.5	0.298586
2.941	1.30294	0.0598531	0.226901	0.499872	0.257391	0.5	0.298586
2.963	1.31316	0.0622414	0.2323	0.500068	0.256596	0.5	0.322397
2.983	1.32289	0.0645675	0.237429	0.500172	0.25622	0.5	0.322397
3.002	1.33357	0.0671832	0.243067	0.499933	0.256299	0.5	0.322397
3.025	1.34327	0.0696144	0.248452	0.500213	0.282233	0.5	0.322397
3.045	1.35296	0.0720996	0.254167	0.499954	0.289303	0.5	0.322397
3.066	1.36311	0.0747689	0.260206	0.499947	0.285948	0.5	0.322397
3.086	1.37277	0.077368	0.265928	0.500066	0.286207	0.5	0.322397
3.106	1.38241	0.0800223	0.271647	0.499938	0.285801	0.5	0.322397
3.127	1.39252	0.0828684	0.27765	0.499939	0.285836	0.5	0.322397
3.146	1.40213	0.0856356	0.283375	0.500063	0.286518	0.5	0.322397
3.166	1.41172	0.0884577	0.289096	0.499936	0.285771	0.5	0.322397
3.187	1.42178	0.0914797	0.295096	0.499971	0.285707	0.5	0.35148
3.206	1.43181	0.0945623	0.301118	0.499998	0.287269	0.5	0.35148
3.228	1.44136	0.0975547	0.306996	0.499927	0.296737	0.5	0.35148
3.25	1.45136	0.100758	0.313477	0.500015	0.31339	0.5	0.35148
3.27	1.46086	0.10387	0.319708	0.500002	0.310932	0.5	0.35148
3.288	1.47129	0.107361	0.32652	0.499931	0.309248	0.5	0.35148
3.312	1.48075	0.110597	0.332708	0.500196	0.309415	0.5	0.35148
3.332	1.49019	0.113891	0.338925	0.500165	0.311111	0.5	0.35148
3.353	1.50009	0.117412	0.345431	0.499933	0.309613	0.5	0.35148
3.372	1.50949	0.120826	0.351619	0.500046	0.309341	0.5	0.366015
3.393	1.51886	0.124298	0.357835	0.499972	0.310972	0.5	0.366015
3.414	1.52869	0.128006	0.36434	0.499963	0.309653	0.5	0.366015
3.434	1.53802	0.131599	0.371009	0.500016	0.334708	0.5	0.366015
3.454	1.54733	0.135254	0.377873	0.499992	0.343617	0.5	0.366015
3.475	1.55707	0.139161	0.38498	0.499963	0.338205	0.5	0.366015
3.495	1.56633	0.142946	0.391744	0.499987	0.338165	0.5	0.366015
3.515	1.57556	0.146794	0.398545	0.499951	0.34005	0.5	0.366015
3.535	1.58522	0.150902	0.405656	0.499998	0.338264	0.5	0.366015
3.556	1.5944	0.154878	0.412423	0.499979	0.339968	0.5	0.366015
3.576	1.604	0.159119	0.419561	0.499927	0.338596	0.5	0.337218
3.597	1.61312	0.163222	0.426333	0.500186	0.33828	0.5	0.337218
3.616	1.62221	0.167386	0.433127	0.499997	0.35258	0.5	0.337218
3.637	1.63128	0.171614	0.440183	0.499922	0.355068	0.5	0.337218
3.658	1.64076	0.176122	0.447632	0.500025	0.35253	0.5	0.337218
3.679	1.65021	0.1807	0.455043	0.500189	0.35431	0.5	0.337218
3.699	1.65962	0.185348	0.462479	0.499965	0.353435	0.5	0.337218
3.72	1.66856	0.18984	0.469544	0.499968	0.35271	0.5	0.337218
3.74	1.67746	0.194394	0.476606	0.499989	0.354374	0.5	0.337218
3.761	1.68677	0.199244	0.484044	0.499985	0.353726	0.5	0.337218
3.781	1.69561	0.203928	0.491113	0.49996	0.352698	0.5	0.307415
3.801	1.70441	0.208673	0.498177	0.499965	0.354382	0.5	0.307415
3.822	1.71362	0.213723	0.505475	0.500205	0.333846	0.5	0.307415
3.843	1.72279	0.218837	0.512372	0.499999	0.319585	0.5	0.307415
3.863	1.73149	0.223767	0.518814	0.500003	0.325963	0.5	0.307415
3.884	1.74059	0.229003	0.52565	0.499919	0.324877	0.5	0.307415
3.904	1.74965	0.234301	0.53246	0.500216	0.323684	0.5	0.307415
3.922	1.75868	0.23966	0.539277	0.500149	0.325411	0.5	0.307415
3.947	1.76768	0.245081	0.546102	0.499945	0.324682	0.5	0.307415
3.967	1.7762	0.250301	0.552595	0.500006	0.324696	0.5	0.307415
3.987	1.7847	0.255577	0.559098	0.49998	0.325481	0.5	0.277608
4.008	1.79358	0.261175	0.56592	0.499931	0.324297	0.5	0.277608
4.028	1.80243	0.266833	0.572393	0.50001	0.296167	0.5	0.277608
4.049	1.81082	0.272273	0.578274	0.499925	0.292638	0.5	0.277608
4.07	1.81959	0.278037	0.584444	0.500017	0.29491	0.5	0.277608
4.09	1.82792	0.283578	0.590346	0.500019	0.295197	0.5	0.277608
4.11	1.83662	0.289449	0.596547	0.499898	0.295379	0.5	0.277608
4.132	1.84529	0.295373	0.602736	0.500229	0.294337	0.5	0.277608
4.149	1.85352	0.301065	0.608634	0.499979	0.295155	0.5	0.277608
4.173	1.86211	0.307094	0.614836	0.49991	0.295452	0.5	0.277608
4.193	1.87027	0.312885	0.620731	0.500244	0.294477	0.5	0.277608
4.212	1.87838	0.318724	0.626629	0.499918	0.295075	0.5	0.248089
4.234	1.88687	0.324905	0.63239	0.499955	0.267815	0.5	0.248089
4.251	1.89532	0.331134	0.637918	0.500094	0.262152	0.5	0.248089
4.276	1.90374	0.337409	0.64349	0.499889	0.265882	0.5	0.248089
4.297	1.91213	0.343731	0.649068	0.500025	0.265598	0.5	0.248089
4.317	1.92008	0.349796	0.654377	0.500179	0.265412	0.5	0.248089
4.338	1.92839	0.356208	0.659944	0.499881	0.265085	0.5	0.248089
4.359	1.93667	0.362668	0.665518	0.500085	0.265369	0.5	0.248089
