t	x	y	theta	v	omega	v	omega
1.716	0.658706	0.201124	0.698008	0.499863	0.613568	0.5	0.547178
1.738	0.666708	0.207921	0.710888	0.499938	0.613301	0.5	0.547178
1.757	0.674623	0.214821	0.723764	0.500034	0.613112	0.5	0.547178
1.78	0.682447	0.221822	0.736647	0.499854	0.6135	0.5	0.468638
1.8	0.690181	0.228923	0.749456	0.500214	0.541175	0.5	0.468638
1.821	0.697467	0.235773	0.760267	0.499896	0.528509	0.5	0.468638
1.841	0.705395	0.243397	0.771919	0.49998	0.536879	0.5	0.468638
1.863	0.712526	0.250409	0.782649	0.500292	0.534268	0.5	0.468638
1.883	0.71993	0.257853	0.79387	0.499871	0.534779	0.5	0.468638
1.905	0.727252	0.265379	0.805103	0.500067	0.53543	0.5	0.468638
1.925	0.734146	0.272623	0.815805	0.499927	0.534	0.5	0.468638
1.946	0.741299	0.280308	0.827025	0.499955	0.535134	0.5	0.468638
1.966	0.748033	0.287702	0.83773	0.500023	0.535404	0.5	0.468638
1.984	0.755017	0.295542	0.848961	0.499868	0.533672	0.5	0.390098
2.008	0.761912	0.303459	0.859782	0.499992	0.456326	0.5	0.390098
2.028	0.768406	0.311064	0.868858	0.500014	0.448015	0.5	0.390098
2.048	0.775149	0.319112	0.878336	0.499923	0.457963	0.5	0.390098
2.069	0.7815	0.326837	0.887489	0.500018	0.457107	0.5	0.390098
2.089	0.78778	0.334619	0.896622	0.499937	0.455812	0.5	0.390098
2.11	0.794297	0.342851	0.906197	0.499963	0.456068	0.5	0.390098
2.13	0.80043	0.35075	0.915326	0.499985	0.457112	0.5	0.390098
2.15	0.806491	0.358704	0.924458	0.49992	0.455776	0.5	0.390098
2.171	0.812777	0.367115	0.934032	0.500268	0.456132	0.5	0.390098
2.186	0.818981	0.375585	0.943621	0.500209	0.457083	0.5	0.311559
2.213	0.825105	0.384113	0.952617	0.49992	0.402353	0.5	0.311559
2.233	0.83087	0.392284	0.96026	0.499988	0.365613	0.5	0.311559
2.253	0.836575	0.400498	0.967729	0.499979	0.379826	0.5	0.311559
2.274	0.842497	0.409168	0.975681	0.499986	0.37778	0.5	0.311559
2.294	0.848073	0.417469	0.983233	0.499964	0.377472	0.5	0.311559
2.315	0.853861	0.42623	0.991173	0.499943	0.378547	0.5	0.311559
2.335	0.859578	0.435036	0.999104	0.500009	0.377188	0.5	0.311559
2.357	0.865226	0.443888	1.00703	0.500178	0.3777	0.5	0.311559
2.378	0.870803	0.452784	1.01498	0.499965	0.378573	0.5	0.233019
2.388	0.87631	0.461724	1.02291	0.499944	0.377293	0.5	0.233019
2.42	0.881748	0.470705	1.02985	0.500016	0.323071	0.5	0.233019
2.44	0.886873	0.479293	1.03576	0.500188	0.288071	0.5	0.233019
2.46	0.8922	0.488341	1.04202	0.49996	0.30004	0.5	0.233019
2.481	0.89722	0.496989	1.048	0.499978	0.299063	0.5	0.233019
2.501	0.902189	0.505668	1.054	0.499989	0.299855	0.5	0.233019
2.52	0.907349	0.514812	1.06027	0.499991	0.298579	0.5	0.233019
2.541	0.912211	0.523551	1.06626	0.499967	0.299292	0.5	0.233019
2.555	0.91702	0.532318	1.07226	0.499947	0.300068	0.5	0.233019
2.583	0.922013	0.541555	1.07853	0.500004	0.298735	0.5	0.154479
2.603	0.926714	0.550381	1.0845	0.499894	0.298462	0.5	0.154479
2.624	0.931598	0.559675	1.08964	0.499949	0.20831	0.5	0.154479
2.644	0.936209	0.568549	1.09382	0.500114	0.221149	0.5	0.154479
2.664	0.941008	0.577888	1.09847	0.499985	0.221952	0.5	0.154479
2.686	0.945765	0.587249	1.10312	0.499951	0.220234	0.5	0.154479
2.705	0.950254	0.596184	1.10753	0.500028	0.219921	0.5	0.154479
2.726	0.954704	0.60514	1.11193	0.500116	0.221434	0.5	0.154479
2.746	0.959115	0.614115	1.11636	0.499939	0.220673	0.5	0.154479
2.767	0.963703	0.623559	1.12099	0.500022	0.219978	0.5	0.0759391
2.787	0.968032	0.632573	1.12539	0.500123	0.221254	0.5	0.0759391
2.808	0.972534	0.642058	1.12966	0.499933	0.145	0.5	0.0759391
2.828	0.976792	0.651106	1.13252	0.500069	0.133068	0.5	0.0759391
2.848	0.981024	0.660167	1.13523	0.500058	0.14444	0.5	0.0759391
2.868	0.985441	0.669692	1.13825	0.499974	0.143133	0.5	0.0759391
2.888	0.98962	0.678778	1.14111	0.500065	0.141414	0.5	0.0759391
2.909	0.993981	0.688329	1.14408	0.499956	0.142479	0.5	0.0759391
2.931	0.998313	0.697894	1.14708	0.500004	0.142344	0.5	0.0759391
2.951	1.00241	0.707015	1.14992	0.500014	0.141552	0.5	0.0759391
2.972	1.00669	0.716605	1.1529	0.49995	0.142228	0.5	-0.0811405
2.991	1.01094	0.726207	1.15589	0.50003	0.142869	0.5	-0.0811405
3.013	1.01516	0.735821	1.15819	0.499961	0.0735082	0.5	-0.0811405
3.035	1.01936	0.745443	1.15952	0.499967	0.0536799	0.5	-0.0811405
3.055	1.02335	0.754611	1.16073	0.500043	0.0659117	0.5	-0.0811405
3.076	1.02753	0.764243	1.16209	0.499997	0.0636726	0.5	-0.0811405
3.096	1.0315	0.773422	1.16335	0.499991	0.0629085	0.5	-0.0811405
3.115	1.03566	0.783065	1.16468	0.500044	0.0639467	0.5	-0.0811405
3.137	1.0398	0.792714	1.16603	0.500006	0.0642615	0.5	-0.0811405
3.157	1.04393	0.802368	1.16736	0.499983	0.0630024	0.5	-0.15968
3.179	1.04785	0.811567	1.16864	0.499995	0.0638199	0.5	-0.15968
3.2	1.05195	0.821231	1.16998	0.499537	0.0641738	0.5	-0.15968
3.22	1.05585	0.830438	1.16885	0.500014	-0.121345	0.5	-0.15968
3.24	1.05977	0.839637	1.16676	0.499977	-0.0952577	0.5	-0.15968
3.26	1.06391	0.849287	1.16483	0.500015	-0.0908168	0.5	-0.15968
3.28	1.06787	0.858471	1.16296	0.500007	-0.0942471	0.5	-0.15968
3.3	1.07184	0.867648	1.16109	0.49995	-0.0935959	0.5	-0.15968
3.32	1.07623	0.877733	1.15903	0.499999	-0.0930679	0.5	-0.15968
