t	x	y	theta	v	omega	v	omega
1.67	0.694617	-0.00546135	-0.0164069	0.500032	-0.0121792	0.5	0
1.692	0.705116	-0.00563493	-0.0166713	0.500048	-0.0126892	0.5	0
1.713	0.715614	-0.00581127	-0.0169315	0.499888	-0.0123415	0.5	0
1.734	0.726112	-0.00599034	-0.0171896	0.500076	-0.0122866	0.5	0
1.755	0.736611	-0.00617213	-0.0174512	0.500003	-0.0124635	0.5	0
1.775	0.747109	-0.00635664	-0.0177093	0.499913	-0.0124472	0.5	0
1.796	0.757608	-0.00654389	-0.0179708	0.500079	-0.0124682	0.5	0
1.818	0.768106	-0.00673388	-0.0182308	0.499971	-0.0118589	0.5	0
1.839	0.778604	-0.00692654	-0.018482	0.499921	-0.0123968	0.5	0
1.86	0.789102	-0.00712189	-0.0187433	0.500074	-0.0125912	0.5	0
1.881	0.799601	-0.00732001	-0.0190049	0.49996	-0.0121306	0.5	0
1.902	0.810098	-0.00752082	-0.0192596	0.499957	-0.0121134	0.5	0
1.923	0.820596	-0.00772431	-0.0195178	0.500059	-0.0126011	0.5	0
1.944	0.831095	-0.00793056	-0.0197834	0.499951	-0.0127091	0.5	0
1.965	0.841592	-0.00813958	-0.0200416	0.500019	-0.0118322	0.5	0
1.986	0.85209	-0.00835127	-0.0202976	0.500005	-0.0125232	0.5	0
2.006	0.863088	-0.00857599	-0.0205766	0.499955	-0.0127898	0.5	0
2.028	0.873586	-0.00879333	-0.0208334	0.500005	-0.0119451	0.5	0
2.05	0.884083	-0.00901333	-0.0210898	0.500042	-0.0123168	0.5	0
2.071	0.894581	-0.00923609	-0.0213568	0.499968	-0.0128393	0.5	0
2.092	0.905079	-0.00946163	-0.0216147	0.499971	-0.0118614	0.5	0
2.113	0.915576	-0.00968985	-0.0218758	0.500019	-0.0127826	0.5	0
2.134	0.926074	-0.00992086	-0.0221397	0.500047	-0.0124844	0.5	0
2.155	0.936571	-0.0101546	-0.0223944	0.49992	-0.0120174	0.5	0
2.176	0.947068	-0.010391	-0.0226487	0.500084	-0.0121303	0.5	0
2.197	0.957566	-0.0106301	-0.022918	0.49994	-0.0129395	0.5	0
2.218	0.968063	-0.010872	-0.0231764	0.499965	-0.0122354	0.5	0
2.239	0.97856	-0.0111166	-0.0234305	0.500104	-0.012096	0.5	0
2.26	0.989057	-0.0113639	-0.0236956	0.499917	-0.0123853	0.5	0
2.281	0.999554	-0.011614	-0.0239554	0.499994	-0.0122096	0.5	0
2.302	1.01005	-0.0118668	-0.0242124	0.500064	-0.0124061	0.5	0
