t	x	y	theta	v	omega	v	omega
1.671	0.693266	-0.00557868	-0.0165607	0.500061	-0.0124144	0.5	0
1.692	0.703765	-0.00575386	-0.0168182	0.500029	-0.0122125	0.5	0
1.713	0.714263	-0.00593173	-0.0170782	0.499909	-0.012419	0.5	0
1.734	0.724761	-0.00611236	-0.0173411	0.500066	-0.0125364	0.5	0
1.755	0.73526	-0.00629571	-0.0175952	0.499999	-0.0120535	0.5	0
1.775	0.745758	-0.00648173	-0.017853	0.499916	-0.0122867	0.5	0
1.795	0.756257	-0.00667049	-0.0181166	0.500063	-0.0125542	0.5	0
1.818	0.766755	-0.00686204	-0.0183803	0.49996	-0.0118625	0.5	0
1.839	0.777253	-0.00705626	-0.0186314	0.499964	-0.0125244	0.5	0
1.86	0.787751	-0.0072532	-0.0188951	0.500037	-0.0126962	0.5	0
1.881	0.79825	-0.00745292	-0.0191581	0.499981	-0.0119814	0.5	0
1.899	0.808747	-0.00765532	-0.0194122	0.500006	-0.012389	0.5	0
1.923	0.819245	-0.00786044	-0.0196754	0.499988	-0.0128237	0.5	0
1.944	0.829743	-0.00806836	-0.0199393	0.499986	-0.0121423	0.5	0
1.964	0.840741	-0.00828907	-0.0202037	0.499989	-0.011877	0.5	0
1.986	0.851239	-0.00850247	-0.0204636	0.500026	-0.0128231	0.5	0
2.008	0.861737	-0.00871865	-0.0207266	0.500035	-0.012301	0.5	0
2.029	0.872234	-0.00893754	-0.0209812	0.499936	-0.0120128	0.5	0
2.05	0.882732	-0.00915911	-0.0212394	0.500055	-0.0124373	0.5	0
2.071	0.89323	-0.00938342	-0.0215023	0.500009	-0.0125526	0.5	0
2.092	0.903727	-0.00961047	-0.0217592	0.499915	-0.0121365	0.5	0
2.113	0.914224	-0.00984019	-0.0220144	0.500113	-0.0121557	0.5	0
2.134	0.924722	-0.0100727	-0.0222827	0.499956	-0.0128783	0.5	0
2.155	0.935219	-0.0103079	-0.0225454	0.499944	-0.0124713	0.5	0
2.175	0.945717	-0.0105459	-0.0228009	0.500144	-0.012153	0.5	0
2.197	0.956214	-0.0107866	-0.02306	0.499917	-0.0124175	0.5	0
2.218	0.966711	-0.01103	-0.0233205	0.499977	-0.0122715	0.5	0
2.239	0.977208	-0.0112761	-0.0235787	0.500066	-0.0124575	0.5	0
2.26	0.987706	-0.011525	-0.0238399	0.499897	-0.0123401	0.5	0
2.281	0.998202	-0.0117766	-0.0240992	0.50001	-0.0123814	0.5	0
2.302	1.0087	-0.0120309	-0.0243599	0.500097	-0.0124858	0.5	0
2.323	1.0192	-0.012288	-0.0246188	0.499882	-0.0120141	0.5	0
2.344	1.02969	-0.0125477	-0.0248738	0.50006	-0.0123562	0.5	0
2.365	1.04019	-0.0128102	-0.0251346	0.500016	-0.0125017	0.5	0
2.385	1.05069	-0.0130753	-0.0253976	0.49993	-0.0125483	0.5	0
2.407	1.06118	-0.0133433	-0.0256532	0.500085	-0.0118341	0.5	0
2.425	1.07168	-0.0136139	-0.0259102	0.499993	-0.012541	0.5	0
2.448	1.08218	-0.0138872	-0.0261756	0.499966	-0.0126943	0.5	0
2.469	1.09267	-0.0141634	-0.0264315	0.500032	-0.011928	0.5	0
2.491	1.10317	-0.0144421	-0.0266885	0.499973	-0.0123626	0.5	0
2.512	1.11366	-0.0147236	-0.026955	0.500013	-0.0127966	0.5	0
2.533	1.12416	-0.0150079	-0.0272127	0.499965	-0.0121449	0.5	0
2.554	1.13466	-0.0152949	-0.0274631	0.500035	-0.0118885	0.5	0
2.575	1.14515	-0.0155845	-0.0277298	0.500038	-0.0127877	0.5	0
2.596	1.15565	-0.015877	-0.0279906	0.499963	-0.0124005	0.5	0
2.617	1.16614	-0.0161721	-0.0282415	0.500018	-0.0126663	0.5	0
2.638	1.17664	-0.0164699	-0.0285072	0.499955	-0.0125255	0.5	0
2.659	1.18714	-0.0167705	-0.0287688	0.500019	-0.0120516	0.5	0
2.68	1.19763	-0.0170738	-0.0290222	0.500053	-0.0121152	0.5	0
2.701	1.20813	-0.0173798	-0.0292808	0.499913	-0.0129466	0.5	0
2.722	1.21862	-0.0176885	-0.0295484	0.500056	-0.0122404	0.5	0
2.743	1.22912	-0.018	-0.0298051	0.499997	-0.0121914	0.5	0
2.764	1.23961	-0.0183142	-0.0300645	0.499914	-0.012612	0.5	0
2.784	1.25011	-0.0186312	-0.0303272	0.500088	-0.0123698	0.5	0
2.806	1.2606	-0.0189509	-0.0305854	0.499975	-0.0122145	0.5	0
2.825	1.2711	-0.0192732	-0.0308426	0.499929	-0.0123402	0.5	0
2.847	1.28159	-0.0195983	-0.0311016	0.500123	-0.0123208	0.5	0
2.869	1.29209	-0.0199261	-0.0313608	0.499928	-0.0123721	0.5	0
2.89	1.30258	-0.0202567	-0.0316219	0.499958	-0.0125011	0.5	0
2.911	1.31308	-0.0205899	-0.0318822	0.500107	-0.0122931	0.5	0
2.932	1.32357	-0.020926	-0.0321434	0.499918	-0.0125463	0.5	0
2.953	1.33407	-0.0212647	-0.0324064	0.5	-0.0125149	0.5	0
2.974	1.34456	-0.0216062	-0.0326629	0.500115	-0.0120624	0.5	0
2.995	1.35506	-0.0219504	-0.0329229	0.499912	-0.0125078	0.5	0
3.015	1.36555	-0.0222973	-0.033188	0.500048	-0.0126597	0.5	0
3.036	1.37604	-0.022647	-0.0334406	0.500042	-0.0118831	0.5	0
3.058	1.38654	-0.0229994	-0.0336994	0.49994	-0.0123951	0.5	0
3.079	1.39703	-0.0233545	-0.0339653	0.500071	-0.0127091	0.5	0
3.1	1.40753	-0.0237123	-0.0342244	0.500019	-0.0123172	0.5	0
3.121	1.41802	-0.0240729	-0.0344834	0.499982	-0.0123371	0.5	0
3.141	1.42851	-0.0244363	-0.034752	0.500039	-0.0123387	0.5	0
3.163	1.43901	-0.0248024	-0.0350101	0.499985	-0.0118482	0.5	0
3.184	1.4495	-0.0251712	-0.0352615	0.500018	-0.0127002	0.5	0
3.204	1.45999	-0.0255427	-0.0355274	0.499938	-0.0125052	0.5	0
3.226	1.47049	-0.0259169	-0.0357872	0.500037	-0.0119399	0.5	0
3.245	1.48098	-0.0262939	-0.0360387	0.499992	-0.0120772	0.5	0
3.268	1.49147	-0.0266735	-0.0362987	0.49996	-0.0129814	0.5	0
3.289	1.50197	-0.0270559	-0.0365647	0.500088	-0.0121527	0.5	0
3.31	1.51246	-0.027441	-0.0368197	0.499923	-0.0121365	0.5	0
3.331	1.52295	-0.0278288	-0.0370808	0.499987	-0.0127557	0.5	0
3.352	1.53345	-0.0282194	-0.0373435	0.500124	-0.0122882	0.5	0
3.373	1.54394	-0.0286127	-0.0376001	0.499878	-0.0121673	0.5	0
3.394	1.55443	-0.0290087	-0.0378577	0.500048	-0.012324	0.5	0
3.415	1.56492	-0.0294074	-0.0381173	0.500086	-0.0123804	0.5	0
3.436	1.57542	-0.0298088	-0.0383761	0.499877	-0.0123052	0.5	0
3.457	1.58591	-0.030213	-0.0386348	0.500054	-0.0123237	0.5	0
3.478	1.5964	-0.0306198	-0.0388935	0.499991	-0.012314	0.5	0
3.499	1.60689	-0.0310294	-0.0391529	0.499922	-0.0123632	0.5	0
3.52	1.61738	-0.0314417	-0.0394141	0.500077	-0.012464	0.5	0
3.541	1.62788	-0.0318567	-0.0396697	0.499946	-0.0121046	0.5	0
3.562	1.63837	-0.0322744	-0.0399307	0.499934	-0.0124809	0.5	0
3.583	1.64886	-0.0326949	-0.0401933	0.500072	-0.0125065	0.5	0
3.604	1.65935	-0.0331181	-0.0404452	0.499936	-0.0119699	0.5	0
3.625	1.66984	-0.0335439	-0.0407051	0.499977	-0.0126103	0.5	0
3.644	1.68033	-0.0339726	-0.0409701	0.500073	-0.0127094	0.5	0
3.667	1.69082	-0.034404	-0.0412341	0.499955	-0.0117343	0.5	0
3.688	1.70132	-0.034838	-0.0414842	0.500027	-0.0126565	0.5	0.0314
3.709	1.71181	-0.0352748	-0.0417506	0.500025	-0.0127771	0.5	0.0314
3.73	1.7223	-0.0357144	-0.0420135	0.49994	-0.0118729	0.5	0.0314
3.751	1.73279	-0.0361567	-0.0422669	0.500022	-0.0124543	0.5	0.0314
3.772	1.74328	-0.0366016	-0.042532	0.499984	-0.0129032	0.5	0.0314
3.793	1.75377	-0.0370494	-0.0427947	0.500008	-0.0119855	0.5	0.0628
3.814	1.76426	-0.0374998	-0.0429996	0.500007	-0.00730585	0.5	0.0628
3.835	1.77475	-0.0379511	-0.0428109	0.500018	0.0238015	0.5	0.0628
3.856	1.78524	-0.0383981	-0.0423633	0.499994	0.0194448	0.5	0.0628
3.877	1.79573	-0.0388408	-0.0419608	0.499934	0.0189935	0.5	0.0942
3.898	1.80622	-0.0392792	-0.0415655	0.500087	0.0187205	0.5	0.0942
3.919	1.81671	-0.0397131	-0.0410279	0.500002	0.0283554	0.5	0.0942
3.94	1.8272	-0.0401391	-0.0399911	0.499922	0.0559382	0.5	0.0942
3.961	1.8377	-0.0405534	-0.0389033	0.500114	0.0508231	0.5	0.0942
3.982	1.84819	-0.0409565	-0.0378548	0.499922	0.0497797	0.5	0.0942
4.003	1.85868	-0.0413486	-0.0367938	0.500004	0.0506024	0.5	0.1256
4.023	1.86917	-0.0417287	-0.0355382	0.500093	0.0602528	0.5	0.1256
4.045	1.87967	-0.0420926	-0.0337217	0.499881	0.0820675	0.5	0.1256
4.065	1.89016	-0.042438	-0.0319996	0.500053	0.0814202	0.5	0.1256
4.084	1.90166	-0.0427957	-0.0301244	0.499932	0.081918	0.5	0.157
4.11	1.91215	-0.0431032	-0.0283487	0.499976	0.0911575	0.5	0.157
4.131	1.92265	-0.043391	-0.0262431	0.500178	0.118485	0.5	0.157
4.152	1.93315	-0.0436542	-0.023797	0.499901	0.113233	0.5	0.157
4.173	1.94364	-0.0438921	-0.021422	0.500003	0.112909	0.5	0.157
