t	x	y	theta	v	omega	v	omega
2.2	0.939077	-0.0475388	-0.0716406	0.499993	-0.0131314	0.5	0
2.23	0.954038	-0.0486145	-0.0720308	0.500009	-0.0129886	0.5	0
2.26	0.968999	-0.049696	-0.0724183	0.500005	-0.0128835	0.5	0
2.29	0.98396	-0.0507832	-0.0728064	0.499995	-0.0129105	0.5	0
2.32	0.99892	-0.0518763	-0.0731951	0.499994	-0.0129811	0.5	0
2.34	1.01388	-0.0529751	-0.0735832	0.499993	-0.01303	0.5	0
2.38	1.02884	-0.0540798	-0.0739714	0.500008	-0.0128965	0.5	0
2.41	1.0438	-0.0551903	-0.0743606	0.500005	-0.0128803	0.5	0
2.44	1.05876	-0.0563067	-0.0747496	0.499995	-0.0130096	0.5	0
2.47	1.07371	-0.0574288	-0.0751373	0.499993	-0.0130142	0.5	0
2.5	1.08867	-0.0585567	-0.0755251	0.500011	-0.0128798	0.5	0
2.53	1.10363	-0.0596908	-0.0759455	0.500009	-0.0124396	0.5	0
2.56	1.11859	-0.0608307	-0.076319	0.500006	-0.0124545	0.5	0
2.58	1.13354	-0.0619763	-0.0767052	0.499994	-0.0128731	0.5	0
2.62	1.1485	-0.0631277	-0.0770982	0.499993	-0.0131265	0.5	0
2.64	1.16345	-0.064285	-0.077488	0.500007	-0.0129764	0.5	0
2.68	1.17841	-0.0654481	-0.0778752	0.500004	-0.0128719	0.5	0
2.71	1.19336	-0.0666169	-0.078263	0.499993	-0.0128988	0.5	0
2.74	1.20832	-0.0677916	-0.0786498	0.499993	-0.0128774	0.5	0
2.76	1.22327	-0.0689721	-0.0790375	0.499993	-0.0130245	0.5	0
2.8	1.23822	-0.0701583	-0.0794256	0.500007	-0.0128928	0.5	0
2.83	1.25317	-0.0713504	-0.0798147	0.500004	-0.012877	0.5	0
2.86	1.26813	-0.0725483	-0.0802036	0.499994	-0.0130063	0.5	0
2.89	1.28308	-0.073752	-0.0805912	0.499993	-0.0130113	0.5	0
2.92	1.29803	-0.0749615	-0.0809788	0.500011	-0.012877	0.5	0
2.95	1.31298	-0.0761771	-0.0813992	0.50001	-0.0124389	0.5	0
2.98	1.32793	-0.0773986	-0.0817728	0.500007	-0.0124583	0.5	0
3.01	1.34288	-0.0786257	-0.0821606	0.499995	-0.0130279	0.5	0
3.04	1.35783	-0.0798587	-0.0825535	0.499993	-0.0131326	0.5	0
3.06	1.37278	-0.0810975	-0.082943	0.500007	-0.0129366	0.5	0
3.1	1.38773	-0.0823422	-0.0833298	0.500004	-0.0128679	0.5	0
3.13	1.40267	-0.0835926	-0.0837176	0.499994	-0.0129018	0.5	0
3.16	1.41762	-0.0848488	-0.0841061	0.499993	-0.0129734	0.5	0
3.19	1.43257	-0.0861109	-0.0844933	0.499993	-0.0129631	0.5	0
3.22	1.44751	-0.0873787	-0.0848808	0.500007	-0.0128902	0.5	0
3.25	1.46246	-0.0886523	-0.0852699	0.500004	-0.0128775	0.5	0
3.28	1.47741	-0.0899317	-0.0856589	0.499994	-0.0130099	0.5	0
3.31	1.49235	-0.091217	-0.0860465	0.499993	-0.0130124	0.5	0
3.34	1.50729	-0.092508	-0.0864342	0.500011	-0.0128781	0.5	0
3.37	1.52224	-0.0938051	-0.0868546	0.50001	-0.0124412	0.5	0
3.4	1.53718	-0.0951082	-0.0872281	0.500007	-0.0124554	0.5	0
3.43	1.55212	-0.0964169	-0.0876159	0.499995	-0.0130317	0.5	0
3.46	1.56707	-0.0977314	-0.0880088	0.499993	-0.0131304	0.5	0
3.49	1.58201	-0.0990518	-0.0883987	0.500007	-0.0129806	0.5	0
3.52	1.59695	-0.100378	-0.0887859	0.500004	-0.0128679	0.5	0
3.55	1.61189	-0.10171	-0.0891737	0.499994	-0.0128983	0.5	0
3.58	1.62683	-0.103048	-0.0895622	0.499993	-0.0129766	0.5	0
3.61	1.64177	-0.104391	-0.08995	0.499993	-0.0130216	0.5	0
3.64	1.65671	-0.105741	-0.090338	0.500007	-0.012889	0.5	0
3.67	1.67165	-0.107096	-0.090727	0.500004	-0.0128763	0.5	0
3.7	1.68659	-0.108457	-0.091116	0.499994	-0.0130101	0.5	0
3.73	1.70152	-0.109824	-0.0915036	0.499993	-0.0130126	0.5	0
3.76	1.71646	-0.111196	-0.0918913	0.500011	-0.0128768	0.5	0
3.79	1.7314	-0.112575	-0.0923117	0.500009	-0.0124392	0.5	0
3.82	1.74633	-0.113959	-0.0926852	0.500007	-0.0124558	0.5	0
3.85	1.76127	-0.11535	-0.093073	0.499995	-0.0130295	0.5	0
3.88	1.7762	-0.116746	-0.0934658	0.499993	-0.0131283	0.5	0
3.91	1.79114	-0.118147	-0.0938557	0.500007	-0.0129767	0.5	0
3.94	1.80607	-0.119555	-0.0942429	0.500004	-0.0128741	0.5	0
3.97	1.82101	-0.120969	-0.0946307	0.499994	-0.0128966	0.5	0
4	1.83594	-0.122388	-0.0950192	0.499993	-0.0129768	0.5	0
4.03	1.85087	-0.123813	-0.095407	0.499993	-0.0130221	0.5	0
4.06	1.8658	-0.125244	-0.0957956	0.500007	-0.0129152	0.5	0
4.09	1.88073	-0.126681	-0.0961847	0.500004	-0.0128787	0.5	0
4.12	1.89566	-0.128123	-0.0965736	0.499994	-0.0130078	0.5	0
4.15	1.91059	-0.129571	-0.0969612	0.499993	-0.0130078	0.5	0
4.18	1.92552	-0.131025	-0.0973488	0.500011	-0.0128755	0.5	0
4.21	1.94045	-0.132485	-0.0977692	0.500009	-0.0124394	0.5	0
4.24	1.95538	-0.133952	-0.0981427	0.500007	-0.0124542	0.5	0
4.27	1.97031	-0.135423	-0.0985304	0.499995	-0.0130269	0.5	0
4.3	1.98523	-0.136901	-0.0989232	0.499993	-0.013127	0.5	0
4.33	2.00016	-0.138384	-0.0993131	0.500007	-0.0129753	0.5	0
4.35	2.01509	-0.139873	-0.0997002	0.500004	-0.0128704	0.5	0
4.39	2.03001	-0.141368	-0.100088	0.499994	-0.0128986	0.5	0
4.42	2.04494	-0.142869	-0.100477	0.499974	-0.0129792	0.5	0
4.45	2.05986	-0.144376	-0.100849	0.499993	-0.0123979	0.5	0
4.48	2.07479	-0.145888	-0.101221	0.500007	-0.012382	0.5	0
4.5	2.08971	-0.147405	-0.101608	0.500003	-0.0129682	0.5	0
4.54	2.10463	-0.148929	-0.102001	0.499991	-0.0131324	0.5	0
4.57	2.11955	-0.150458	-0.102389	0.499993	-0.0129723	0.5	0
4.6	2.13447	-0.151993	-0.102775	0.500004	-0.0127941	0.5	0
4.63	2.14939	-0.153534	-0.103162	0.500001	-0.0128382	0.5	0
4.66	2.16431	-0.15508	-0.103547	0.500003	-0.0128428	0.5	0
4.69	2.17923	-0.156633	-0.103935	0.499993	-0.0128951	0.5	0
4.72	2.19415	-0.158191	-0.104323	0.499993	-0.0129484	0.5	0
4.75	2.20907	-0.159755	-0.10471	0.500007	-0.0129419	0.5	0
4.78	2.22399	-0.161325	-0.105097	0.500004	-0.0128854	0.5	0
4.8	2.2389	-0.1629	-0.105486	0.499994	-0.0130112	0.5	0
4.84	2.25382	-0.164481	-0.105876	0.499977	-0.0129519	0.5	0
4.87	2.26874	-0.166068	-0.106247	0.500036	-0.0125556	0.5	0
4.9	2.28365	-0.167661	-0.106641	0.500005	-0.0134379	0.5	0
4.93	2.29857	-0.16926	-0.107042	0.500006	-0.0131868	0.5	0
4.96	2.31348	-0.170864	-0.107435	0.499994	-0.0130726	0.5	0
4.99	2.32839	-0.172474	-0.107821	0.499993	-0.012966	0.5	0
5.02	2.34331	-0.174091	-0.108209	0.500005	-0.0128833	0.5	0
5.05	2.35822	-0.175712	-0.1086	0.500002	-0.0129562	0.5	0
5.08	2.37313	-0.17734	-0.108991	0.499992	-0.0130729	0.5	0
5.11	2.38804	-0.178974	-0.109378	0.499992	-0.0128586	0.5	0
5.14	2.40295	-0.180613	-0.109765	0.499993	-0.0129454	0.5	0
5.17	2.41786	-0.182258	-0.110153	0.500007	-0.0129645	0.5	0
5.2	2.43277	-0.183909	-0.110541	0.500004	-0.0129059	0.5	0
5.23	2.44768	-0.185566	-0.110929	0.499994	-0.0128979	0.5	0
5.26	2.46259	-0.187228	-0.111317	0.499993	-0.0129513	0.5	0
5.29	2.47749	-0.188896	-0.111709	0.500038	-0.012929	0.5	0
5.32	2.4924	-0.190571	-0.112084	0.500011	-0.0122974	0.5	0
5.35	2.5073	-0.19225	-0.112455	0.500006	-0.0124092	0.5	0
5.38	2.52221	-0.193935	-0.112839	0.499992	-0.0129903	0.5	0
5.41	2.53711	-0.195626	-0.113232	0.499993	-0.0131876	0.5	0
5.44	2.55202	-0.197323	-0.113623	0.500004	-0.0129566	0.5	0
5.47	2.56692	-0.199026	-0.114011	0.500001	-0.0128136	0.5	0
5.5	2.58182	-0.200734	-0.114399	0.499991	-0.0129833	0.5	0
5.53	2.59672	-0.202448	-0.114807	0.499973	-0.015098	0.5	0
5.56	2.61163	-0.204169	-0.115206	0.500036	-0.012406	0.5	0
5.59	2.62653	-0.205894	-0.115555	0.500005	-0.0131646	0.5	0
5.62	2.64143	-0.207626	-0.11595	0.500003	-0.0131935	0.5	0
5.65	2.65633	-0.209363	-0.116341	0.499991	-0.0128673	0.5	0
5.68	2.67122	-0.211106	-0.116727	0.499993	-0.012863	0.5	0
5.71	2.68612	-0.212855	-0.117112	0.500002	-0.0129372	0.5	0
5.74	2.70102	-0.21461	-0.1175	0.499999	-0.0129174	0.5	0
5.77	2.71591	-0.21637	-0.117888	0.49999	-0.0129042	0.5	0
5.8	2.73081	-0.218136	-0.118276	0.499991	-0.012945	0.5	0
5.83	2.7457	-0.219908	-0.118663	0.499993	-0.0129934	0.5	0
5.86	2.7606	-0.221686	-0.11905	0.500006	-0.0128698	0.5	0
5.89	2.77549	-0.223469	-0.119439	0.500003	-0.0128655	0.5	0
5.92	2.79039	-0.225259	-0.119828	0.499994	-0.0130018	0.5	0
5.95	2.80528	-0.227054	-0.120218	0.499993	-0.0133371	0.5	0
5.98	2.82017	-0.228854	-0.120611	0.499993	-0.0129631	0.5	0
6.01	2.83506	-0.230661	-0.120995	0.500008	-0.0128698	0.5	0
6.04	2.84995	-0.232474	-0.121382	0.500005	-0.012899	0.5	0
6.07	2.86484	-0.234292	-0.121772	0.499994	-0.0130019	0.5	0
6.1	2.87973	-0.236116	-0.122163	0.499993	-0.0130332	0.5	0
6.13	2.89462	-0.237946	-0.122552	0.50003	-0.0129848	0.5	0
6.16	2.9095	-0.239781	-0.122945	0.5	-0.0131573	0.5	0
6.19	2.92439	-0.241623	-0.123326	0.500019	-0.0122208	0.5	0
6.22	2.93928	-0.24347	-0.1237	0.499995	-0.0125525	0.5	0
6.25	2.95416	-0.245322	-0.124086	0.499993	-0.0131852	0.5	0
6.28	2.96905	-0.247181	-0.124481	0.500005	-0.0131632	0.5	0
6.31	2.98393	-0.249045	-0.124875	0.500002	-0.0129901	0.5	0
6.34	2.99881	-0.250915	-0.125266	0.499992	-0.0130414	0.5	0
6.37	3.01369	-0.252791	-0.125654	0.499993	-0.0130435	0.5	0
6.4	3.02858	-0.254673	-0.126043	0.50004	-0.0129235	0.5	0
6.43	3.04346	-0.256561	-0.12647	0.50001	-0.0124319	0.5	0
6.46	3.05834	-0.258455	-0.126839	0.500005	-0.0122412	0.5	0
6.49	3.07322	-0.260354	-0.127221	0.499993	-0.0129011	0.5	0
6.52	3.08809	-0.262259	-0.127612	0.499993	-0.013093	0.5	0
6.55	3.10297	-0.26417	-0.128002	0.500005	-0.0129575	0.5	0
6.58	3.11785	-0.266087	-0.128388	0.500002	-0.0128142	0.5	0
6.61	3.13273	-0.268009	-0.128774	0.499992	-0.0128336	0.5	0
6.64	3.1476	-0.269938	-0.129161	0.499992	-0.0129349	0.5	0
6.67	3.16248	-0.271872	-0.129547	0.499993	-0.0129999	0.5	0
6.7	3.17735	-0.273811	-0.129935	0.500006	-0.0128695	0.5	0
6.73	3.19222	-0.275757	-0.130323	0.500004	-0.0128556	0.5	0
6.76	3.2071	-0.277708	-0.130712	0.499994	-0.0129985	0.5	0
6.79	3.22197	-0.279665	-0.131099	0.499993	-0.0130063	0.5	0
6.82	3.23684	-0.281628	-0.131487	0.50001	-0.0128678	0.5	0
6.84	3.25171	-0.283597	-0.131907	0.500009	-0.0124407	0.5	0
6.88	3.26658	-0.285571	-0.132253	0.499989	-0.011075	0.5	0
6.91	3.28145	-0.287551	-0.132654	0.499997	-0.013332	0.5	0
6.94	3.29632	-0.289537	-0.13305	0.499993	-0.0131339	0.5	0
6.97	3.31118	-0.291529	-0.133436	0.500007	-0.0128921	0.5	0
7	3.32605	-0.293527	-0.133822	0.500002	-0.0128601	0.5	0
7.03	3.34091	-0.29553	-0.134212	0.499992	-0.0129718	0.5	0
7.06	3.35578	-0.297539	-0.134602	0.499993	-0.013028	0.5	0
7.09	3.37064	-0.299554	-0.134991	0.499993	-0.0129687	0.5	0
7.12	3.38551	-0.301574	-0.135378	0.500006	-0.0128578	0.5	0
7.15	3.40037	-0.303601	-0.135767	0.500003	-0.0128897	0.5	0
7.18	3.41523	-0.305633	-0.136156	0.499993	-0.0130187	0.5	0
7.21	3.43009	-0.307671	-0.136544	0.499993	-0.0130083	0.5	0
7.24	3.44495	-0.309715	-0.136931	0.500029	-0.0128708	0.5	0
7.27	3.45981	-0.311764	-0.137328	0.5	-0.0129594	0.5	0
7.3	3.47467	-0.31382	-0.137757	0.500022	-0.0149988	0.5	0
7.33	3.48953	-0.315881	-0.138126	0.499997	-0.012207	0.5	0
7.36	3.50438	-0.317949	-0.138502	0.499993	-0.0127274	0.5	0
7.39	3.51924	-0.320021	-0.138894	0.500005	-0.013161	0.5	0
7.42	3.5341	-0.3221	-0.139286	0.500001	-0.0130462	0.5	0
7.45	3.54895	-0.324184	-0.139674	0.499991	-0.0128423	0.5	0
7.48	3.5638	-0.326275	-0.140061	0.499993	-0.0129087	0.5	0
7.51	3.57866	-0.328371	-0.140448	0.499993	-0.0129622	0.5	0
7.54	3.59351	-0.330472	-0.140835	0.500005	-0.0128701	0.5	0
7.57	3.60836	-0.33258	-0.141224	0.500002	-0.0128847	0.5	0
7.6	3.62321	-0.334693	-0.141613	0.499993	-0.0130091	0.5	0
7.63	3.63806	-0.336812	-0.142001	0.499993	-0.013004	0.5	0
7.66	3.65291	-0.338937	-0.142388	0.500007	-0.0128743	0.5	0
7.69	3.66776	-0.341067	-0.142777	0.500002	-0.0128761	0.5	0
7.72	3.6826	-0.343204	-0.143202	0.500019	-0.0148002	0.5	0
7.75	3.69745	-0.345346	-0.143575	0.499997	-0.0124606	0.5	0
7.78	3.71229	-0.347494	-0.143958	0.499993	-0.0128769	0.5	0
7.81	3.72714	-0.349648	-0.144349	0.500008	-0.0131278	0.5	0
7.83	3.74198	-0.351808	-0.144741	0.500005	-0.0130045	0.5	0
7.87	3.75683	-0.353973	-0.145129	0.499994	-0.0128725	0.5	0
7.9	3.77167	-0.356145	-0.145517	0.499993	-0.012945	0.5	0
7.93	3.78651	-0.358322	-0.145904	0.500039	-0.0129759	0.5	0
7.96	3.80135	-0.360504	-0.146283	0.50001	-0.0124203	0.5	0
7.99	3.81619	-0.362693	-0.146663	0.499988	-0.0131855	0.5	0
8.02	3.83103	-0.364887	-0.14706	0.499994	-0.0132965	0.5	0
8.05	3.84587	-0.367087	-0.147453	0.499993	-0.013057	0.5	0
8.08	3.8607	-0.369292	-0.14784	0.500004	-0.012805	0.5	0
8.11	3.87554	-0.371504	-0.148227	0.5	-0.0128236	0.5	0
8.14	3.89037	-0.373721	-0.148615	0.499989	-0.0130206	0.5	0
8.17	3.90521	-0.375944	-0.149004	0.499993	-0.0130362	0.5	0
8.2	3.92004	-0.378173	-0.149391	0.499993	-0.0128708	0.5	0
8.23	3.93487	-0.380407	-0.149777	0.500005	-0.0129263	0.5	0
8.26	3.94971	-0.382647	-0.150164	0.500003	-0.0128855	0.5	0
8.29	3.96454	-0.384893	-0.150552	0.499993	-0.0128903	0.5	0
8.32	3.97937	-0.387145	-0.15094	0.499993	-0.012946	0.5	0
8.34	3.9942	-0.389402	-0.151327	0.500029	-0.0129494	0.5	0
8.38	4.00902	-0.391665	-0.151719	0.5	-0.0131206	0.5	0
8.41	4.02385	-0.393934	-0.152105	0.500005	-0.0127563	0.5	0
8.44	4.03868	-0.396209	-0.152492	0.499994	-0.0129755	0.5	0
8.47	4.0535	-0.398489	-0.152882	0.499993	-0.0130992	0.5	0
8.5	4.06833	-0.400776	-0.153272	0.500007	-0.0129669	0.5	0
8.53	4.08315	-0.403068	-0.153663	0.500004	-0.0129131	0.5	0
8.56	4.09798	-0.405366	-0.154052	0.499994	-0.0130315	0.5	0
8.59	4.1128	-0.407669	-0.154459	0.499976	-0.0148288	0.5	0
8.62	4.12762	-0.409979	-0.154856	0.499993	-0.0124688	0.5	0
8.65	4.14244	-0.412294	-0.155235	0.500008	-0.0128968	0.5	0
8.68	4.15726	-0.414615	-0.155625	0.500005	-0.0130497	0.5	0
8.71	4.17208	-0.416942	-0.156018	0.499994	-0.013017	0.5	0
8.74	4.18689	-0.419275	-0.156408	0.499993	-0.0129857	0.5	0
8.77	4.20171	-0.421613	-0.156794	0.500007	-0.0128549	0.5	0
8.8	4.21653	-0.423958	-0.157181	0.500002	-0.0129083	0.5	0
8.83	4.23134	-0.426308	-0.157565	0.500021	-0.0124257	0.5	0
8.86	4.24615	-0.428663	-0.157937	0.499996	-0.0123944	0.5	0
8.89	4.26097	-0.431024	-0.158313	0.499993	-0.0129033	0.5	0
8.92	4.27578	-0.433391	-0.158702	0.500005	-0.0129681	0.5	0
8.95	4.29059	-0.435763	-0.159094	0.500002	-0.0129221	0.5	0
8.98	4.3054	-0.438142	-0.159482	0.499992	-0.0129668	0.5	0
9.01	4.32021	-0.440526	-0.159868	0.499993	-0.0129552	0.5	0
9.04	4.33502	-0.442915	-0.160254	0.499993	-0.0128368	0.5	0
9.07	4.34983	-0.445311	-0.16064	0.500006	-0.012941	0.5	0
9.1	4.36463	-0.447712	-0.161027	0.500003	-0.0128907	0.5	0
9.13	4.37944	-0.450119	-0.161415	0.499993	-0.0128809	0.5	0
9.16	4.39424	-0.452532	-0.161803	0.499993	-0.0129408	0.5	0
9.19	4.40905	-0.45495	-0.16219	0.500007	-0.0129505	0.5	0
9.22	4.42385	-0.457374	-0.162577	0.500003	-0.0128946	0.5	0
9.25	4.43865	-0.459804	-0.162959	0.500019	-0.0122811	0.5	0
9.28	4.45345	-0.462239	-0.163333	0.499996	-0.0125508	0.5	0
9.31	4.46825	-0.46468	-0.163716	0.499993	-0.0130743	0.5	0
9.34	4.48305	-0.467127	-0.164108	0.500007	-0.0130508	0.5	0
9.37	4.49785	-0.469579	-0.1645	0.500004	-0.0129375	0.5	0
9.4	4.51265	-0.472038	-0.16489	0.499994	-0.0130149	0.5	0
9.43	4.52744	-0.474502	-0.165277	0.499993	-0.0130151	0.5	0
9.46	4.54224	-0.476972	-0.165665	0.499993	-0.0128877	0.5	0
9.49	4.55703	-0.479447	-0.166052	0.500007	-0.0129704	0.5	0
9.52	4.57183	-0.481928	-0.16644	0.500005	-0.0129185	0.5	0
9.55	4.58662	-0.484415	-0.166829	0.499994	-0.0129062	0.5	0
9.58	4.60141	-0.486908	-0.167217	0.499993	-0.0129551	0.5	0
9.61	4.6162	-0.489407	-0.167605	0.500008	-0.0129579	0.5	0
9.64	4.63099	-0.491911	-0.167992	0.500003	-0.0129023	0.5	0
9.67	4.64578	-0.494421	-0.168374	0.50002	-0.012283	0.5	0
9.7	4.66057	-0.496936	-0.168748	0.499996	-0.0125511	0.5	0
9.73	4.67535	-0.499458	-0.169131	0.499993	-0.0130695	0.5	0
9.76	4.69014	-0.501984	-0.169523	0.500007	-0.0130505	0.5	0
9.79	4.70492	-0.504517	-0.169915	0.500004	-0.012936	0.5	0
9.82	4.71971	-0.507055	-0.170305	0.499994	-0.0130093	0.5	0
9.85	4.73449	-0.509599	-0.170692	0.499993	-0.0130097	0.5	0
9.88	4.74927	-0.512149	-0.17108	0.500039	-0.0128891	0.5	0
9.91	4.76405	-0.514705	-0.171506	0.50001	-0.0124131	0.5	0
9.94	4.77883	-0.517267	-0.171847	0.499988	-0.0108466	0.5	0
9.97	4.79361	-0.519834	-0.172242	0.499995	-0.0132022	0.5	0
10	4.80839	-0.522407	-0.172636	0.499993	-0.0130954	0.5	0
10.03	4.82317	-0.524986	-0.173022	0.500004	-0.0128653	0.5	0
10.06	4.83794	-0.52757	-0.173407	0.5	-0.0128104	0.5	0
10.09	4.85272	-0.53016	-0.173795	0.49999	-0.0129109	0.5	0
10.12	4.86749	-0.532756	-0.174184	0.499993	-0.0130346	0.5	0
10.15	4.88226	-0.535357	-0.174571	0.499993	-0.0129407	0.5	0
10.18	4.89703	-0.537964	-0.174957	0.500004	-0.0128303	0.5	0
10.21	4.9118	-0.540577	-0.175346	0.500002	-0.0128713	0.5	0
10.24	4.92657	-0.543196	-0.175735	0.499993	-0.0130039	0.5	0
10.27	4.94134	-0.54582	-0.176122	0.499993	-0.0129991	0.5	0
10.3	4.95611	-0.54845	-0.176509	0.50003	-0.0128668	0.5	0
10.33	4.97088	-0.551086	-0.176906	0.5	-0.0129608	0.5	0
10.36	4.98564	-0.553728	-0.177291	0.500006	-0.0127671	0.5	0
10.39	5.00041	-0.556375	-0.177677	0.499994	-0.0129027	0.5	0
10.42	5.01517	-0.559028	-0.178067	0.499993	-0.0130341	0.5	0
10.45	5.02993	-0.561687	-0.178457	0.500007	-0.0130297	0.5	0
10.48	5.04469	-0.564352	-0.178846	0.500004	-0.0129519	0.5	0
10.51	5.05945	-0.567022	-0.179235	0.499994	-0.0129252	0.5	0
10.54	5.07421	-0.569698	-0.179624	0.499976	-0.0129726	0.5	0
10.57	5.08897	-0.57238	-0.179996	0.499993	-0.0125762	0.5	0
10.6	5.10373	-0.575067	-0.180375	0.500008	-0.0126476	0.5	0
10.62	5.11849	-0.57776	-0.180767	0.500004	-0.0130607	0.5	0
10.66	5.13324	-0.580458	-0.181161	0.499993	-0.0131571	0.5	0
10.69	5.14799	-0.583163	-0.18155	0.499993	-0.0130155	0.5	0
10.72	5.16275	-0.585873	-0.181937	0.500006	-0.0128618	0.5	0
